crate	source	trait	disposition	state	customer_form	evidence	rationale
lling-llang	src/multitape/traits.rs	MultiTapeWfstOps	consumer-operation	missing	Derived multi-tape algorithms operating on an admitted multi-tape provider resource.	src/multitape/traits.rs#pub trait MultiTapeWfstOps	These default algorithms should remain consumers, but foreign facades cannot invoke them until the resource protocol exists.
lling-llang	src/programming/traits.rs	ParserBackend	provider-capability	missing	Snapshotting parse provider returning owned syntax-tree resources and structured diagnostics.	src/programming/traits.rs#pub trait ParserBackend	Foreign parsers are useful integrations, but their output needs an owned tree protocol rather than borrowed Rust node references.
lling-llang	src/programming/traits.rs	SyntaxNodeRef	rust-type-system	implemented	Expose parser-owned immutable syntax resources and cursors instead of allowing borrowed nodes to escape callbacks.	src/programming/traits.rs#pub trait SyntaxNodeRef	The lifetime-parameterized borrowed view cannot cross asynchronous or managed-language boundaries without violating ownership.
lling-llang	src/pushdown/traits.rs	WeightedPda	provider-resource	missing	Immutable weighted pushdown resource with paged transitions, stack actions, and snapshot identity.	src/pushdown/traits.rs#pub trait WeightedPda	Custom pushdown systems are sensible integrations, but no stable resource capability currently represents stack transitions.
lling-llang	src/semiring/signed/signed_tropical.rs	FallibleStarSemiring	provider-capability	implemented	Optional Kleene-star capability returning an explicit partial-operation status.	src/dynamic_semiring.rs#pub fn star(	The semiring star vtable preserves fallibility without exceptions crossing the ABI and keeps provider-owned values scoped.
lling-llang	src/semiring/traits.rs	CommutativeTimesSemiring	law-declaration	implemented	Negotiated immutable semiring-property bit validated against representative values.	src/dynamic_semiring.rs#declares_property	A marker has no callable method, so a declared and probe-validated property is its sound cross-language representation.
lling-llang	src/semiring/traits.rs	DivisibleSemiring	provider-capability	implemented	Optional division capability with explicit undefined results and provider status propagation.	src/dynamic_semiring.rs#pub fn divide(	The versioned optional vtable represents partial division while retaining every input and output value correctly.
lling-llang	src/semiring/traits.rs	HashableSemiring	law-declaration	implemented	Negotiated hashability property paired with stable provider-defined bytes.	src/dynamic_semiring.rs#pub fn stable_bytes(	Cross-language values cannot share native Hash implementations, so stable bytes plus an equality law form the portable contract.
lling-llang	src/semiring/traits.rs	IdempotentSemiring	law-declaration	implemented	Negotiated idempotent-plus property validated against representative values.	src/dynamic_semiring.rs#validate_declared_laws	A marker has no callable method, so a declared and probe-validated property is its sound cross-language representation.
lling-llang	src/semiring/traits.rs	KClosedSemiring	provider-capability	implemented	Optional closure-bound callback plus a declared K-closed property.	src/dynamic_semiring.rs#pub fn closure_bound(	The dynamic provider supplies the algorithmic bound explicitly and law validation checks the associated declaration.
lling-llang	src/semiring/traits.rs	NonnegativeSemiring	law-declaration	implemented	Negotiated nonnegative property validated through numerical projections.	src/dynamic_semiring.rs#validate_declared_laws	A marker has no callable method, so a declared and probe-validated property is its sound cross-language representation.
lling-llang	src/semiring/traits.rs	NumericalWeight	provider-capability	implemented	Optional finite numerical projection capability with strict output validation.	src/dynamic_semiring.rs#pub fn numerical_value(	The numeric vtable avoids assuming an in-memory representation and rejects non-finite provider outputs where required.
lling-llang	src/semiring/traits.rs	QuantizableSemiring	provider-capability	implemented	Optional epsilon-checked quantization capability returning stable integer buckets.	src/dynamic_semiring.rs#pub fn quantize(	The numeric vtable exposes quantization directly and validates the tolerance before invoking foreign code.
lling-llang	src/semiring/traits.rs	Semiring	provider-capability	implemented	Versioned base semiring capability with owned provider tokens, stable domains, batching, and law probes.	src/dynamic_semiring.rs#pub struct SemiringContext	The dynamic representation preserves algebraic semantics and ownership while native Rust algorithms keep zero-cost generic dispatch.
lling-llang	src/semiring/traits.rs	StarSemiring	provider-capability	implemented	Optional Kleene-star capability with explicit undefined results.	src/dynamic_semiring.rs#pub fn star(	The optional vtable represents partial closure without manufacturing values or allowing exceptions across the boundary.
lling-llang	src/semiring/traits.rs	StochasticSemiring	provider-capability	implemented	Optional checked conversion from provider values to probabilities.	src/dynamic_semiring.rs#pub fn to_probability(	The numerical capability returns a portable scalar and validates probability-domain output before publication.
lling-llang	src/semiring/traits.rs	TotallyOrderedSemiring	law-declaration	implemented	Negotiated total-order property paired with the natural-order callback.	src/dynamic_semiring.rs#NaturalOrder	The provider exposes comparison and declares totality; law probes reject inconsistent ordering behavior.
lling-llang	src/semiring/traits.rs	WeaklyLeftDivisibleSemiring	provider-capability	implemented	Optional left-division capability with explicit undefined results.	src/dynamic_semiring.rs#pub fn left_divide(	The optional vtable preserves the partial quotient operation and provider-owned output lifetime.
lling-llang	src/semiring/traits.rs	ZeroSumFreeSemiring	law-declaration	implemented	Negotiated zero-sum-free property validated against representative values.	src/dynamic_semiring.rs#validate_declared_laws	A marker has no callable method, so a declared and probe-validated property is its sound cross-language representation.
lling-llang	src/symbolic/algebra_tower.rs	HeytingAlgebra	provider-capability	missing	Versioned bounded implication capability over immutable symbolic values.	src/symbolic/algebra_tower.rs#pub trait HeytingAlgebra	Custom constructive-logic algebras are sensible, but lattice operations alone do not encode implication.
lling-llang	src/symbolic/algebra_tower.rs	RejectSafeAlgebra	provider-capability	missing	Versioned symbolic-algebra capability for conjunction, disjunction, complement, emptiness, and implication.	src/symbolic/algebra_tower.rs#pub trait RejectSafeAlgebra	The existing lattice capability omits complement and rejection semantics, so it cannot soundly stand in for this trait.
lling-llang	src/symbolic/behavioral_algebra.rs	HostTerm	provider-resource	missing	Immutable canonical term resource with stable equality, hashing, and child traversal.	src/symbolic/behavioral_algebra.rs#pub trait HostTerm	Foreign symbolic terms are useful inputs, but Rust Clone, Eq, and Hash implementations cannot be called across the ABI directly.
lling-llang	src/symbolic/collection_algebra.rs	Singleton	provider-capability	missing	Optional singleton-construction capability on a symbolic-algebra provider.	src/symbolic/collection_algebra.rs#pub trait Singleton	The refinement adds a constructor with semantic content, and the current lattice provider does not expose that constructor.
lling-llang	src/symbolic/logict.rs	ConstraintTheory	provider-capability	missing	Versioned bounded satisfiability and conjunction provider over immutable predicate resources.	src/symbolic/logict.rs#pub trait ConstraintTheory	Customer theories are a primary symbolic integration seam, but no typed provider vtable currently represents their operations.
lling-llang	src/symbolic/ordered_field.rs	OrderedPoint	provider-resource	missing	Canonical immutable point resource with stable total ordering and encoding.	src/symbolic/ordered_field.rs#pub trait OrderedPoint	Foreign point domains are sensible, but native Eq, Hash, and Ord cannot cross the boundary without portable callbacks and bytes.
lling-llang	src/symbolic/sfa.rs	BooleanAlgebra	provider-capability	missing	Versioned Boolean-algebra capability with bounded batch operations and law declarations.	src/symbolic/sfa.rs#pub trait BooleanAlgebra	The lattice provider covers join and meet but not complement, satisfiability, witness generation, or Boolean laws.
lling-llang	src/transducer/traits.rs	AcousticEncoder	provider-capability	missing	Bounded tensor-batch encoder callback with explicit shapes, limits, and cancellation.	src/transducer/traits.rs#pub trait AcousticEncoder	Customer neural encoders are sensible integrations, but nested Rust vectors are not a stable or bounded wire representation.
lling-llang	src/transducer/traits.rs	AutoregressivePredictor	provider-capability	missing	Bounded predictor-state resource and batched output callback.	src/transducer/traits.rs#pub trait AutoregressivePredictor	Customer predictors need persistent state and tensor batches, neither of which the current ABI models.
lling-llang	src/transducer/traits.rs	JointNetwork	provider-capability	missing	Bounded joint-network tensor callback with explicit shape validation.	src/transducer/traits.rs#pub trait JointNetwork	Customer joint networks are sensible integrations, but the current Rust tensor vectors have no portable callback contract.
lling-llang	src/transducer/traits.rs	NeuralTransducer	provider-capability	missing	Composite provider resource negotiating encoder, predictor, and joint-network capabilities.	src/transducer/traits.rs#pub trait NeuralTransducer	The trait is a useful host integration aggregate, but its component capability interfaces must exist before composition is sound.
lling-llang	src/tree_transducers/alphabet.rs	RankedAlphabet	provider-resource	missing	Immutable symbol-to-arity descriptor with stable symbol-domain identity.	src/tree_transducers/alphabet.rs#pub trait RankedAlphabet	Foreign ranked alphabets are useful, but their generic hashable symbols need an owned portable representation.
lling-llang	src/tree_transducers/transducer.rs	TreeTransducerOps	consumer-operation	missing	Derived tree-transduction algorithms over an admitted tree-transducer resource.	src/tree_transducers/transducer.rs#pub trait TreeTransducerOps	These default methods own no independent provider semantics, but foreign facades need operations once the resource protocol exists.
lling-llang	src/tree_transducers/transducer.rs	WeightedTreeTransducer	provider-resource	missing	Immutable weighted tree-transducer resource with paged rules, patterns, and snapshot identity.	src/tree_transducers/transducer.rs#pub trait WeightedTreeTransducer	Custom tree transducers are sensible integrations, but generic borrowed rule references require an owned resource protocol.
lling-llang	src/wfst/lazy.rs	StateSource	provider-resource	implemented	Lazy immutable scalar-WFST resource whose complete states are fetched through bounded arc pages.	src/bindings.rs#pub trait ScalarWfstProvider	The scalar WFST provider is the portable specialization of lazy state production and preserves snapshot and threading semantics.
lling-llang	src/wfst/traits.rs	LazyWfst	provider-resource	implemented	Lazy immutable scalar-WFST resource with paged on-demand state expansion.	src/bindings.rs#pub trait ScalarWfstProvider	The provider capability preserves lazy expansion without exposing Rust iterator or cache internals.
lling-llang	src/wfst/traits.rs	MutableWfst	provider-resource	implemented	Mutable live resource whose snapshot callback yields an immutable revision before algorithms traverse it.	src/bindings.rs#wfst_snapshot	Mutation remains owned by the host while snapshot capture gives consumers a stable graph and avoids cross-language mutable aliasing.
lling-llang	src/wfst/traits.rs	Wfst	provider-resource	implemented	Immutable scalar-WFST resource with start state, state count, state metadata, and bounded arc pages.	src/bindings.rs#pub struct OwnedWfstResource	The stable resource protocol is the sound scalar-label and scalar-weight specialization of the generic native trait.
