id	area	invariant	formalism	artifact	formal_symbol	proof_strength	implementation_owner	property_suite	property_name	implementation_state	model_evidence
E9-NF-COQ-028	assurance	changed subject invalidates evidence	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	changed_subject_invalidates_evidence	rocq-unbounded	vinary-assurance	proofs/required_red/neutral_foundations/tests/assurance.rs	prop_changed_subject_invalidates_evidence	required-red-before-production	rocq-proof-term
E9-NF-COQ-029	assurance	attestation is revision bound	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	attestation_is_revision_bound	rocq-unbounded	vinary-assurance	proofs/required_red/neutral_foundations/tests/assurance.rs	prop_attestation_is_revision_bound	required-red-before-production	rocq-proof-term
E9-NF-COQ-030	assurance	verified assurance requires negative control	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	verified_assurance_requires_negative_control	rocq-unbounded	vinary-assurance	proofs/required_red/neutral_foundations/tests/assurance.rs	prop_verified_assurance_requires_negative_control	required-red-before-production	rocq-proof-term
E9-NF-COQ-031	assurance	inapplicable evidence cannot verify	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	inapplicable_evidence_cannot_verify	rocq-unbounded	vinary-assurance	proofs/required_red/neutral_foundations/tests/assurance.rs	prop_inapplicable_evidence_cannot_verify	required-red-before-production	rocq-proof-term
E9-NF-COQ-032	documentation	changed source marks generated asset stale	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	changed_source_marks_generated_asset_stale	rocq-unbounded	vinary-doc-lint	proofs/required_red/neutral_foundations/tests/documentation.rs	prop_changed_source_marks_generated_asset_stale	required-red-source; execution-blocked-by-protected-baseline	rocq-proof-term
E9-NF-COQ-033	documentation	changed generator marks generated asset stale	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	changed_generator_marks_generated_asset_stale	rocq-unbounded	vinary-doc-lint	proofs/required_red/neutral_foundations/tests/documentation.rs	prop_changed_generator_marks_generated_asset_stale	required-red-source; execution-blocked-by-protected-baseline	rocq-proof-term
E9-NF-COQ-034	documentation	statistical wording cannot claim a theorem	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	statistical_wording_cannot_claim_a_theorem	rocq-unbounded	vinary-doc-lint	proofs/required_red/neutral_foundations/tests/documentation.rs	prop_statistical_wording_cannot_claim_a_theorem	required-red-source; execution-blocked-by-protected-baseline	rocq-proof-term
E9-NF-COQ-035	documentation	check only lint is non mutating	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	check_only_lint_is_non_mutating	rocq-unbounded	vinary-doc-lint	proofs/required_red/neutral_foundations/tests/documentation.rs	prop_check_only_lint_is_non_mutating	required-red-source; execution-blocked-by-protected-baseline	rocq-proof-term
E9-NF-COQ-036	documentation	documentation traversal uses constant native stack	rocq	proofs/coq/domain_integration/NeutralFoundationContracts.v	documentation_traversal_uses_constant_native_stack	rocq-unbounded	vinary-doc-lint	proofs/required_red/neutral_foundations/tests/documentation.rs	prop_documentation_traversal_uses_constant_native_stack	required-red-source; execution-blocked-by-protected-baseline	rocq-proof-term
E9-NF-TLA-001	lifecycle	type ok	tla+	proofs/tla/NeutralFoundationLifecycle.tla	TypeOK	tlc-finite-exhaustive	vinary-runtime	proofs/required_red/neutral_foundations/tests/lifecycle.rs	prop_type_ok	required-red-before-production	tlc-mutant:type-ok
E9-NF-TLA-002	canonical-wire	named profile is not rfc8785	tla+	proofs/tla/NeutralFoundationLifecycle.tla	NamedProfileIsNotRfc8785	tlc-finite-exhaustive	vinary-canonical-json	proofs/required_red/neutral_foundations/tests/lifecycle.rs	prop_named_profile_is_not_rfc8785	required-red-before-production	tlc-mutant:named-profile
E9-NF-TLA-003	wire-identity	wire and content identity domains are separate	tla+	proofs/tla/NeutralFoundationLifecycle.tla	WireAndContentIdentityDomainsAreSeparate	tlc-finite-exhaustive	vinary-content-identity	proofs/required_red/content_identity/tests/content_identity.rs	prop_wire_and_content_identity_domains_are_separate	required-red-before-production	tlc-mutant:identity-domains
E9-NF-TLA-004	analysis-graph	projection never strengthens	tla+	proofs/tla/NeutralFoundationLifecycle.tla	ProjectionNeverStrengthens	tlc-finite-exhaustive	vinary-analysis-graph	proofs/required_red/neutral_foundations/tests/analysis_graph.rs	prop_projection_never_strengthens_lifecycle	required-red-before-production	tlc-mutant:projection-strength
E9-NF-TLA-005	analysis-graph	patch commit requires matching base	tla+	proofs/tla/NeutralFoundationLifecycle.tla	PatchCommitRequiresMatchingBase	tlc-finite-exhaustive	vinary-analysis-graph	proofs/required_red/neutral_foundations/tests/analysis_graph.rs	prop_patch_commit_requires_matching_base	required-red-before-production	tlc-mutant:patch-base
E9-NF-TLA-006	runtime	incomplete never enters cache	tla+	proofs/tla/NeutralFoundationLifecycle.tla	IncompleteNeverEntersCache	tlc-finite-exhaustive	vinary-runtime	proofs/required_red/neutral_foundations/tests/runtime.rs	prop_incomplete_never_enters_cache	required-red-before-production	tlc-mutant:incomplete-cache
E9-NF-TLA-007	runtime	runtime release requires exact complete locked inputs	tla+	proofs/tla/NeutralFoundationLifecycle.tla	RuntimeReleaseRequiresExactCompleteLockedInputs	tlc-finite-exhaustive	vinary-runtime	proofs/required_red/neutral_foundations/tests/runtime.rs	prop_runtime_release_requires_exact_complete_locked_inputs	required-red-before-production	tlc-mutant:release-locks
E9-NF-TLA-008	runtime	overflow spills only to repository storage	tla+	proofs/tla/NeutralFoundationLifecycle.tla	OverflowSpillsOnlyToRepositoryStorage	tlc-finite-exhaustive	vinary-runtime	proofs/required_red/neutral_foundations/tests/runtime.rs	prop_overflow_spills_only_to_repository_storage	required-red-before-production	tlc-mutant:repository-spill
E9-NF-TLA-009	runtime	resume requires compatible checkpoint	tla+	proofs/tla/NeutralFoundationLifecycle.tla	ResumeRequiresCompatibleCheckpoint	tlc-finite-exhaustive	vinary-runtime	proofs/required_red/neutral_foundations/tests/runtime.rs	prop_resume_requires_compatible_checkpoint	required-red-before-production	tlc-mutant:checkpoint-resume
E9-NF-TLA-010	requirements	tombstones are not active	tla+	proofs/tla/NeutralFoundationLifecycle.tla	TombstonesAreNotActive	tlc-finite-exhaustive	vinary-requirements	proofs/required_red/neutral_foundations/tests/requirements.rs	prop_tombstones_are_not_active	required-red-source; execution-blocked-by-protected-baseline	tlc-mutant:tombstone-active
E9-NF-TLA-011	requirements	source accounting never drops unclassified text	tla+	proofs/tla/NeutralFoundationLifecycle.tla	SourceAccountingNeverDropsUnclassifiedText	tlc-finite-exhaustive	vinary-requirements	proofs/required_red/neutral_foundations/tests/requirements.rs	prop_source_accounting_never_drops_unclassified_text	required-red-source; execution-blocked-by-protected-baseline	tlc-mutant:source-accounting
E9-NF-TLA-012	assurance	statistics never discharge theorem obligations	tla+	proofs/tla/NeutralFoundationLifecycle.tla	StatisticsNeverDischargeTheoremObligations	tlc-finite-exhaustive	vinary-assurance	proofs/required_red/neutral_foundations/tests/assurance.rs	prop_statistics_never_discharge_theorem_obligations	required-red-before-production	tlc-mutant:statistics-theorem
E9-NF-TLA-013	assurance	stale evidence cannot verify	tla+	proofs/tla/NeutralFoundationLifecycle.tla	StaleEvidenceCannotVerify	tlc-finite-exhaustive	vinary-assurance	proofs/required_red/neutral_foundations/tests/assurance.rs	prop_stale_evidence_cannot_verify	required-red-before-production	tlc-mutant:stale-evidence
E9-NF-TLA-014	assurance	verified assurance requires negative control	tla+	proofs/tla/NeutralFoundationLifecycle.tla	VerifiedAssuranceRequiresNegativeControl	tlc-finite-exhaustive	vinary-assurance	proofs/required_red/neutral_foundations/tests/assurance.rs	prop_verified_assurance_requires_negative_control_lifecycle	required-red-before-production	tlc-mutant:negative-control
E9-NF-TLA-015	assurance	verified assurance requires revision attestation	tla+	proofs/tla/NeutralFoundationLifecycle.tla	VerifiedAssuranceRequiresRevisionAttestation	tlc-finite-exhaustive	vinary-assurance	proofs/required_red/neutral_foundations/tests/assurance.rs	prop_verified_assurance_requires_revision_attestation	required-red-before-production	tlc-mutant:revision-attestation
E9-NF-TLA-016	documentation	check only lint never mutates documentation	tla+	proofs/tla/NeutralFoundationLifecycle.tla	CheckOnlyLintNeverMutatesDocumentation	tlc-finite-exhaustive	vinary-doc-lint	proofs/required_red/neutral_foundations/tests/documentation.rs	prop_check_only_lint_never_mutates_documentation	required-red-source; execution-blocked-by-protected-baseline	tlc-mutant:check-only-mutation
E9-NF-TLA-017	documentation	stale manifest cannot pass lint	tla+	proofs/tla/NeutralFoundationLifecycle.tla	StaleManifestCannotPassLint	tlc-finite-exhaustive	vinary-doc-lint	proofs/required_red/neutral_foundations/tests/documentation.rs	prop_stale_manifest_cannot_pass_lint	required-red-source; execution-blocked-by-protected-baseline	tlc-mutant:stale-manifest
E9-NF-TLA-018	lifecycle	release requires every neutral foundation gate	tla+	proofs/tla/NeutralFoundationLifecycle.tla	ReleaseRequiresEveryNeutralFoundationGate	tlc-finite-exhaustive	vinary-runtime	proofs/required_red/neutral_foundations/tests/lifecycle.rs	prop_release_requires_every_neutral_foundation_gate	required-red-before-production	tlc-mutant:release-gates
E9-NF-TLA-019	stack-safety	native stack bound is input independent	tla+	proofs/tla/NeutralFoundationLifecycle.tla	NativeStackBoundIsInputIndependent	tlc-finite-exhaustive	multi-foundation	proofs/required_red/neutral_foundations/tests/lifecycle.rs	prop_native_stack_bound_is_input_independent	required-red-before-production	tlc-mutant:native-stack
E9-NF-TLA-020	lifecycle	eventually terminal	tla+	proofs/tla/NeutralFoundationLifecycle.tla	EventuallyTerminal	tlc-finite-exhaustive	multi-foundation	proofs/required_red/neutral_foundations/tests/lifecycle.rs	prop_eventually_terminal	required-red-before-production	tlc-mutant:eventually-terminal
E9-NF-SMT-001	canonical-wire	e9 nf smt identity domains separate	smt	proofs/smt/vco-e9-neutral-foundations.smt2	E9-NF-SMT-IDENTITY-DOMAINS-SEPARATE	z3-finite-boundary	vinary-content-identity	proofs/required_red/content_identity/tests/content_identity.rs	prop_e9_nf_smt_identity_domains_separate	required-red-before-production	z3-unsat-negative-control
E9-NF-SMT-002	canonical-wire	e9 nf smt nonfinite number rejected	smt	proofs/smt/vco-e9-neutral-foundations.smt2	E9-NF-SMT-NONFINITE-NUMBER-REJECTED	z3-finite-boundary	vinary-canonical-json	proofs/required_red/neutral_foundations/tests/canonical_wire.rs	prop_e9_nf_smt_nonfinite_number_rejected	required-red-before-production	z3-unsat-negative-control
E9-NF-SMT-003	canonical-wire	e9 nf smt sink rejection atomic	smt	proofs/smt/vco-e9-neutral-foundations.smt2	E9-NF-SMT-SINK-REJECTION-ATOMIC	z3-finite-boundary	vinary-canonical-json	proofs/required_red/neutral_foundations/tests/canonical_wire.rs	prop_e9_nf_smt_sink_rejection_atomic	required-red-before-production	z3-unsat-negative-control
E9-NF-SMT-004	analysis-graph	e9 nf smt projection nonstrengthening	smt	proofs/smt/vco-e9-neutral-foundations.smt2	E9-NF-SMT-PROJECTION-NONSTRENGTHENING	z3-finite-boundary	vinary-analysis-graph	proofs/required_red/neutral_foundations/tests/analysis_graph.rs	prop_e9_nf_smt_projection_nonstrengthening	required-red-before-production	z3-unsat-negative-control
E9-NF-SMT-005	analysis-graph	e9 nf smt patch base gate	smt	proofs/smt/vco-e9-neutral-foundations.smt2	E9-NF-SMT-PATCH-BASE-GATE	z3-finite-boundary	vinary-analysis-graph	proofs/required_red/neutral_foundations/tests/analysis_graph.rs	prop_e9_nf_smt_patch_base_gate	required-red-before-production	z3-unsat-negative-control
E9-NF-SMT-006	runtime	e9 nf smt incomplete not cacheable	smt	proofs/smt/vco-e9-neutral-foundations.smt2	E9-NF-SMT-INCOMPLETE-NOT-CACHEABLE	z3-finite-boundary	vinary-runtime	proofs/required_red/neutral_foundations/tests/runtime.rs	prop_e9_nf_smt_incomplete_not_cacheable	required-red-before-production	z3-unsat-negative-control
E9-NF-SMT-007	runtime	e9 nf smt exact release locks all inputs	smt	proofs/smt/vco-e9-neutral-foundations.smt2	E9-NF-SMT-EXACT-RELEASE-LOCKS-ALL-INPUTS	z3-finite-boundary	vinary-runtime	proofs/required_red/neutral_foundations/tests/runtime.rs	prop_e9_nf_smt_exact_release_locks_all_inputs	required-red-before-production	z3-unsat-negative-control
E9-NF-SMT-008	runtime	e9 nf smt overflow spills to repository	smt	proofs/smt/vco-e9-neutral-foundations.smt2	E9-NF-SMT-OVERFLOW-SPILLS-TO-REPOSITORY	z3-finite-boundary	vinary-runtime	proofs/required_red/neutral_foundations/tests/runtime.rs	prop_e9_nf_smt_overflow_spills_to_repository	required-red-before-production	z3-unsat-negative-control
E9-NF-SMT-009	runtime	e9 nf smt resume requires compatible checkpoint	smt	proofs/smt/vco-e9-neutral-foundations.smt2	E9-NF-SMT-RESUME-REQUIRES-COMPATIBLE-CHECKPOINT	z3-finite-boundary	vinary-runtime	proofs/required_red/neutral_foundations/tests/runtime.rs	prop_e9_nf_smt_resume_requires_compatible_checkpoint	required-red-before-production	z3-unsat-negative-control
E9-NF-SMT-010	requirements	e9 nf smt tombstone not active	smt	proofs/smt/vco-e9-neutral-foundations.smt2	E9-NF-SMT-TOMBSTONE-NOT-ACTIVE	z3-finite-boundary	vinary-requirements	proofs/required_red/neutral_foundations/tests/requirements.rs	prop_e9_nf_smt_tombstone_not_active	required-red-source; execution-blocked-by-protected-baseline	z3-unsat-negative-control
E9-NF-SMT-011	requirements	e9 nf smt unclassified source retained	smt	proofs/smt/vco-e9-neutral-foundations.smt2	E9-NF-SMT-UNCLASSIFIED-SOURCE-RETAINED	z3-finite-boundary	vinary-requirements	proofs/required_red/neutral_foundations/tests/requirements.rs	prop_e9_nf_smt_unclassified_source_retained	required-red-source; execution-blocked-by-protected-baseline	z3-unsat-negative-control
E9-NF-SMT-012	assurance	e9 nf smt statistics not theorem	smt	proofs/smt/vco-e9-neutral-foundations.smt2	E9-NF-SMT-STATISTICS-NOT-THEOREM	z3-finite-boundary	vinary-assurance	proofs/required_red/neutral_foundations/tests/assurance.rs	prop_e9_nf_smt_statistics_not_theorem	required-red-before-production	z3-unsat-negative-control
E9-NF-SMT-013	assurance	e9 nf smt stale evidence not verified	smt	proofs/smt/vco-e9-neutral-foundations.smt2	E9-NF-SMT-STALE-EVIDENCE-NOT-VERIFIED	z3-finite-boundary	vinary-assurance	proofs/required_red/neutral_foundations/tests/assurance.rs	prop_e9_nf_smt_stale_evidence_not_verified	required-red-before-production	z3-unsat-negative-control
E9-NF-SMT-014	assurance	e9 nf smt negative control required	smt	proofs/smt/vco-e9-neutral-foundations.smt2	E9-NF-SMT-NEGATIVE-CONTROL-REQUIRED	z3-finite-boundary	vinary-assurance	proofs/required_red/neutral_foundations/tests/assurance.rs	prop_e9_nf_smt_negative_control_required	required-red-before-production	z3-unsat-negative-control
E9-NF-SMT-015	assurance	e9 nf smt attestation revision required	smt	proofs/smt/vco-e9-neutral-foundations.smt2	E9-NF-SMT-ATTESTATION-REVISION-REQUIRED	z3-finite-boundary	vinary-assurance	proofs/required_red/neutral_foundations/tests/assurance.rs	prop_e9_nf_smt_attestation_revision_required	required-red-before-production	z3-unsat-negative-control
E9-NF-SMT-016	documentation	e9 nf smt stale manifest not linted	smt	proofs/smt/vco-e9-neutral-foundations.smt2	E9-NF-SMT-STALE-MANIFEST-NOT-LINTED	z3-finite-boundary	vinary-doc-lint	proofs/required_red/neutral_foundations/tests/documentation.rs	prop_e9_nf_smt_stale_manifest_not_linted	required-red-source; execution-blocked-by-protected-baseline	z3-unsat-negative-control
E9-NF-SMT-017	documentation	e9 nf smt check only nonmutating	smt	proofs/smt/vco-e9-neutral-foundations.smt2	E9-NF-SMT-CHECK-ONLY-NONMUTATING	z3-finite-boundary	vinary-doc-lint	proofs/required_red/neutral_foundations/tests/documentation.rs	prop_e9_nf_smt_check_only_nonmutating	required-red-source; execution-blocked-by-protected-baseline	z3-unsat-negative-control
E9-NF-SMT-018	lifecycle	e9 nf smt release requires every gate	smt	proofs/smt/vco-e9-neutral-foundations.smt2	E9-NF-SMT-RELEASE-REQUIRES-EVERY-GATE	z3-finite-boundary	multi-foundation	proofs/required_red/neutral_foundations/tests/lifecycle.rs	prop_e9_nf_smt_release_requires_every_gate	required-red-before-production	z3-unsat-negative-control
E9-NF-SMT-019	lifecycle	e9 nf smt native stack constant	smt	proofs/smt/vco-e9-neutral-foundations.smt2	E9-NF-SMT-NATIVE-STACK-CONSTANT	z3-finite-boundary	multi-foundation	proofs/required_red/neutral_foundations/tests/lifecycle.rs	prop_e9_nf_smt_native_stack_constant	required-red-before-production	z3-unsat-negative-control
E9-NF-SMT-020	lifecycle	e9 nf smt valid exact release witness	smt	proofs/smt/vco-e9-neutral-foundations.smt2	E9-NF-SMT-VALID-EXACT-RELEASE-WITNESS	z3-finite-boundary	multi-foundation	proofs/required_red/neutral_foundations/tests/lifecycle.rs	prop_e9_nf_smt_valid_exact_release_witness	required-red-before-production	z3-positive-witness
E9-NF-SMT-021	lifecycle	e9 nf smt valid complete approximate cache witness	smt	proofs/smt/vco-e9-neutral-foundations.smt2	E9-NF-SMT-VALID-COMPLETE-APPROXIMATE-CACHE-WITNESS	z3-finite-boundary	multi-foundation	proofs/required_red/neutral_foundations/tests/lifecycle.rs	prop_e9_nf_smt_valid_complete_approximate_cache_witness	required-red-before-production	z3-positive-witness
