id	area	invariant	formalism	artifact	formal_symbol	proof_strength	implementation_owner	property_suite	property_name	implementation_state
E6-DS-COQ-JOIN-COMMUTATIVE	lattice-merge	dictionary join merge is commutative	rocq	proofs/coq/domain_integration/DictionarySurface.v	lawful_join_merge_is_commutative	rocq-unbounded	libdictenstein-llattice	proofs/required_red/dictionary_surface/tests/lattice_laws.rs	prop_dictionary_join_merge_is_commutative	required-red-before-production
E6-DS-COQ-JOIN-ASSOCIATIVE	lattice-merge	dictionary join merge is associative	rocq	proofs/coq/domain_integration/DictionarySurface.v	lawful_join_merge_is_associative	rocq-unbounded	libdictenstein-llattice	proofs/required_red/dictionary_surface/tests/lattice_laws.rs	prop_dictionary_join_merge_is_associative	required-red-before-production
E6-DS-COQ-TROPICAL-IDEMPOTENCE	negative-algebra	tropical multiplication is not idempotent	rocq	proofs/coq/domain_integration/DictionarySurface.v	tropical_times_is_not_idempotent	constructive-counterexample	lling-llang	proofs/required_red/dictionary_surface/tests/lattice_laws.rs	prop_tropical_times_is_not_idempotent	required-red-before-production
E6-DS-COQ-TROPICAL-MEET	negative-algebra	tropical multiplication cannot implement meet semilattice laws	rocq	proofs/coq/domain_integration/DictionarySurface.v	tropical_times_cannot_be_meet	rocq-unbounded	lling-llang	proofs/required_red/dictionary_surface/tests/lattice_laws.rs	prop_semiring_times_is_never_inferred_as_meet	required-red-before-production
E6-DS-COQ-TROPICAL-ABSORPTION	negative-algebra	tropical multiplication breaks meet absorption	rocq	proofs/coq/domain_integration/DictionarySurface.v	tropical_times_breaks_meet_absorption	constructive-counterexample	lling-llang	proofs/required_red/dictionary_surface/tests/lattice_laws.rs	prop_tropical_times_breaks_meet_absorption	required-red-before-production
E6-DS-COQ-LEFT-BIASED	negative-algebra	left-biased structural list merge is not commutative	rocq	proofs/coq/domain_integration/DictionarySurface.v	left_biased_container_merge_is_not_commutative	constructive-counterexample	llattice	proofs/required_red/dictionary_surface/tests/lattice_laws.rs	prop_left_biased_sequence_is_not_a_join	required-red-before-production
E6-DS-COQ-NONFINITE	numeric-admission	every non-finite numeric class is rejected	rocq	proofs/coq/domain_integration/DictionarySurface.v	every_non_finite_numeric_class_is_rejected	rocq-unbounded	llattice	proofs/required_red/dictionary_surface/tests/lattice_laws.rs	prop_nonfinite_values_are_rejected	required-red-before-production
E6-DS-COQ-RAW-NUMERIC	numeric-admission	raw numeric domains cannot be universally admitted	rocq	proofs/coq/domain_integration/DictionarySurface.v	raw_numeric_domain_cannot_be_universally_admitted	constructive-counterexample	llattice	proofs/required_red/dictionary_surface/tests/lattice_laws.rs	prop_raw_float_domain_is_not_lawful_by_default	required-red-before-production
E6-DS-COQ-EDGE-RANK	dependencies	every dependency edge strictly decreases rank	rocq	proofs/coq/domain_integration/DictionarySurface.v	every_dependency_points_inward	rocq-unbounded	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/architecture.rs	prop_every_dependency_edge_decreases_rank	required-red-before-production
E6-DS-COQ-PATH-RANK	dependencies	every dependency path strictly decreases rank	rocq	proofs/coq/domain_integration/DictionarySurface.v	every_dependency_path_strictly_decreases_rank	rocq-unbounded	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/architecture.rs	prop_every_dependency_path_decreases_rank	required-red-before-production
E6-DS-COQ-ACYCLIC	dependencies	the future adapter dependency graph is acyclic	rocq	proofs/coq/domain_integration/DictionarySurface.v	future_adapter_dependency_graph_is_acyclic	rocq-unbounded	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/architecture.rs	prop_adapter_dependency_graph_is_acyclic	required-red-before-production
E6-DS-COQ-LATTICE-INDEPENDENT	dependencies	the dictionary lattice adapter excludes edit-distance and pipeline-core dependencies	rocq	proofs/coq/domain_integration/DictionarySurface.v	dictionary_lattice_adapter_stays_independent	rocq-unbounded	libdictenstein-llattice	proofs/required_red/dictionary_surface/tests/architecture.rs	prop_dictionary_lattice_adapter_has_only_leaf_dependencies	required-red-before-production
E6-DS-COQ-NO-REVERSE	dependencies	domain crates never depend on the dictionary pipeline adapter	rocq	proofs/coq/domain_integration/DictionarySurface.v	domain_crates_do_not_depend_on_dictionary_pipeline	rocq-unbounded	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/architecture.rs	prop_domain_crates_do_not_reverse_depend_on_pipeline	required-red-before-production
E6-DS-COQ-FACADE	facade	exact delegation establishes facade equivalence	rocq	proofs/coq/domain_integration/DictionarySurface.v	exact_delegation_establishes_facade_equivalence	rocq-unbounded	duallity	proofs/required_red/dictionary_surface/tests/architecture.rs	prop_duallity_facade_matches_native_adapter	required-red-before-production
E6-DS-COQ-BROKEN-FACADE	facade	a facade that transforms results is observably inequivalent	rocq	proofs/coq/domain_integration/DictionarySurface.v	facade_that_transforms_results_is_not_equivalent	constructive-counterexample	duallity	proofs/required_red/dictionary_surface/tests/architecture.rs	prop_transforming_facade_is_rejected	required-red-before-production
E6-DS-COQ-NO-FIBRATION	category-boundary	an indexed family without cartesian lifts cannot claim a fibration	rocq	proofs/coq/domain_integration/DictionarySurface.v	indexed_family_without_lifts_cannot_claim_fibration	rocq-unbounded	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/architecture.rs	prop_fibration_requires_explicit_cartesian_lifts	required-red-before-production
E6-DS-COQ-CAP	completion	a capped feed is incomplete	rocq	proofs/coq/domain_integration/DictionarySurface.v	capped_feed_is_incomplete	definition-reduction	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/lifecycle.rs	prop_cap_is_incomplete	required-red-before-production
E6-DS-COQ-CANCEL	completion	a cancelled feed is incomplete	rocq	proofs/coq/domain_integration/DictionarySurface.v	cancelled_feed_is_incomplete	definition-reduction	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/lifecycle.rs	prop_cancellation_is_incomplete	required-red-before-production
E6-DS-COQ-FAILURE	completion	a failed provider feed is incomplete	rocq	proofs/coq/domain_integration/DictionarySurface.v	failed_feed_is_incomplete	definition-reduction	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/lifecycle.rs	prop_provider_failure_is_incomplete	required-red-before-production
E6-DS-COQ-WORKLIST	stack-safety	every confirmation step strictly decreases pending heap work	rocq	proofs/coq/domain_integration/DictionarySurface.v	confirmation_step_strictly_decreases_pending_work	rocq-unbounded	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/lifecycle.rs	prop_confirmation_step_decreases_pending_work	required-red-before-production
E6-DS-TLA-TYPE	lifecycle	all lifecycle values remain in declared finite domains	tla	proofs/tla/DictionarySurfaceLifecycle.tla	TypeOK	tlc-bounded	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/lifecycle.rs	prop_dictionary_lifecycle_is_well_typed	required-red-before-production
E6-DS-TLA-IDENTITY	lifecycle	candidate identity equals the captured query identity	tla	proofs/tla/DictionarySurfaceLifecycle.tla	CandidateIdentityMatchesCapture	tlc-bounded-mutant-killed	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/query_identity.rs	prop_candidate_identity_matches_capture	required-red-before-production
E6-DS-TLA-ACCOUNT	lifecycle	pending and checked candidates partition the feed	tla	proofs/tla/DictionarySurfaceLifecycle.tla	CandidateAccounting	tlc-bounded	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/lifecycle.rs	prop_pending_and_checked_partition_feed	required-red-before-production
E6-DS-TLA-EXACT-CHECK	confirmation	accepted candidates equal checked reference members	tla	proofs/tla/DictionarySurfaceLifecycle.tla	AcceptedExactlyCheckedReference	tlc-bounded	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/lifecycle.rs	prop_accepted_equals_checked_reference	required-red-before-production
E6-DS-TLA-SOUND	confirmation	accepted candidates are reference members	tla	proofs/tla/DictionarySurfaceLifecycle.tla	AcceptedSubsetReference	tlc-bounded	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/lifecycle.rs	prop_accepted_is_reference_subset	required-red-before-production
E6-DS-TLA-COVERAGE	completion	complete coverage contains every reference member	tla	proofs/tla/DictionarySurfaceLifecycle.tla	CompleteCoverageContainsReference	tlc-bounded	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/lifecycle.rs	prop_complete_feed_contains_reference	required-red-before-production
E6-DS-TLA-NONEXHAUSTIVE	completion	cap cancellation and failure remain incomplete	tla	proofs/tla/DictionarySurfaceLifecycle.tla	NonExhaustiveTerminationIsIncomplete	tlc-bounded-mutant-killed	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/lifecycle.rs	prop_nonexhaustive_termination_never_promotes	required-red-before-production
E6-DS-TLA-EXACT-EVIDENCE	completion	complete exact publication requires exhaustion complete coverage and exact precision	tla	proofs/tla/DictionarySurfaceLifecycle.tla	CompleteExactRequiresExhaustion	tlc-bounded	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/lifecycle.rs	prop_complete_exact_requires_all_evidence	required-red-before-production
E6-DS-TLA-REFERENCE	completion	complete exact output equals the independent reference	tla	proofs/tla/DictionarySurfaceLifecycle.tla	CompleteExactEqualsReference	tlc-bounded	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/lifecycle.rs	prop_complete_exact_equals_reference	required-red-before-production
E6-DS-TLA-FACADE	facade	published facade output equals native output	tla	proofs/tla/DictionarySurfaceLifecycle.tla	FacadeEqualsNative	tlc-bounded-mutant-killed	duallity	proofs/required_red/dictionary_surface/tests/architecture.rs	prop_published_facade_equals_native	required-red-before-production
E6-DS-TLA-PUBLISH	publication	native publication equals the accepted set	tla	proofs/tla/DictionarySurfaceLifecycle.tla	PublishedEqualsAccepted	tlc-bounded	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/lifecycle.rs	prop_published_output_equals_accepted	required-red-before-production
E6-DS-SMT-SNAPSHOT	query-identity	snapshot identity is mandatory	smt	proofs/smt/vco-e6-dictionary-surface.smt2	E6-DS-SMT-SNAPSHOT	decidable-unsat	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/finite_boundaries.rs	prop_smt_snapshot_component_is_mandatory	required-red-before-production
E6-DS-SMT-QUERY	query-identity	query identity is mandatory	smt	proofs/smt/vco-e6-dictionary-surface.smt2	E6-DS-SMT-QUERY	decidable-unsat	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/finite_boundaries.rs	prop_smt_query_component_is_mandatory	required-red-before-production
E6-DS-SMT-NORMALIZATION	query-identity	normalization identity is mandatory	smt	proofs/smt/vco-e6-dictionary-surface.smt2	E6-DS-SMT-NORMALIZATION	decidable-unsat	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/finite_boundaries.rs	prop_smt_normalization_component_is_mandatory	required-red-before-production
E6-DS-SMT-EDIT	query-identity	edit-profile identity is mandatory	smt	proofs/smt/vco-e6-dictionary-surface.smt2	E6-DS-SMT-EDIT	decidable-unsat	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/finite_boundaries.rs	prop_smt_edit_component_is_mandatory	required-red-before-production
E6-DS-SMT-BOUND	query-identity	distance-bound identity is mandatory	smt	proofs/smt/vco-e6-dictionary-surface.smt2	E6-DS-SMT-BOUND	decidable-unsat	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/finite_boundaries.rs	prop_smt_bound_component_is_mandatory	required-red-before-production
E6-DS-SMT-IDENTIFIER	identifier-map	dense and external mapping is injective	smt	proofs/smt/vco-e6-dictionary-surface.smt2	E6-DS-SMT-IDENTIFIER	decidable-unsat	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/finite_boundaries.rs	prop_smt_dense_external_mapping_is_injective	required-red-before-production
E6-DS-SMT-DEPENDENCY	dependencies	strict dependency ranks exclude cycles	smt	proofs/smt/vco-e6-dictionary-surface.smt2	E6-DS-SMT-DEPENDENCY	decidable-unsat	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/finite_boundaries.rs	prop_smt_strict_rank_excludes_cycles	required-red-before-production
E6-DS-SMT-TROPICAL	negative-algebra	tropical multiplication violates meet idempotence	smt	proofs/smt/vco-e6-dictionary-surface.smt2	E6-DS-SMT-TROPICAL	decidable-unsat	lling-llang	proofs/required_red/dictionary_surface/tests/finite_boundaries.rs	prop_smt_tropical_times_cannot_be_meet	required-red-before-production
E6-DS-SMT-NONFINITE	numeric-admission	non-finite numeric values are inadmissible	smt	proofs/smt/vco-e6-dictionary-surface.smt2	E6-DS-SMT-NONFINITE	decidable-unsat	llattice	proofs/required_red/dictionary_surface/tests/finite_boundaries.rs	prop_smt_nonfinite_is_inadmissible	required-red-before-production
E6-DS-SMT-LEFT-BIASED	negative-algebra	left-biased structural merge has a noncommutative model	smt	proofs/smt/vco-e6-dictionary-surface.smt2	E6-DS-SMT-LEFT-BIASED	decidable-countermodel	llattice	proofs/required_red/dictionary_surface/tests/finite_boundaries.rs	prop_smt_left_biased_merge_has_countermodel	required-red-before-production
E6-DS-SMT-FACADE	facade	exact delegation excludes facade drift	smt	proofs/smt/vco-e6-dictionary-surface.smt2	E6-DS-SMT-FACADE	decidable-unsat	duallity	proofs/required_red/dictionary_surface/tests/finite_boundaries.rs	prop_smt_exact_facade_cannot_differ	required-red-before-production
E6-DS-SMT-BROKEN-FACADE	facade	a transforming facade has a mismatch model	smt	proofs/smt/vco-e6-dictionary-surface.smt2	E6-DS-SMT-BROKEN-FACADE	decidable-countermodel	duallity	proofs/required_red/dictionary_surface/tests/finite_boundaries.rs	prop_smt_broken_facade_has_countermodel	required-red-before-production
E6-DS-SMT-FIBRATION	category-boundary	fibration claims require lift evidence	smt	proofs/smt/vco-e6-dictionary-surface.smt2	E6-DS-SMT-FIBRATION	decidable-unsat	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/finite_boundaries.rs	prop_smt_fibration_requires_lifts	required-red-before-production
E6-DS-SMT-CAP	completion	cap cannot denote exhaustive completion	smt	proofs/smt/vco-e6-dictionary-surface.smt2	E6-DS-SMT-CAP	decidable-unsat	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/finite_boundaries.rs	prop_smt_cap_is_not_complete	required-red-before-production
E6-DS-SMT-CANCEL	completion	cancellation cannot denote exhaustive completion	smt	proofs/smt/vco-e6-dictionary-surface.smt2	E6-DS-SMT-CANCEL	decidable-unsat	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/finite_boundaries.rs	prop_smt_cancel_is_not_complete	required-red-before-production
E6-DS-SMT-FAILURE	completion	failure cannot denote exhaustive completion	smt	proofs/smt/vco-e6-dictionary-surface.smt2	E6-DS-SMT-FAILURE	decidable-unsat	vinary-dictionary-pipeline	proofs/required_red/dictionary_surface/tests/finite_boundaries.rs	prop_smt_failure_is_not_complete	required-red-before-production
