id	area	invariant	formalism	artifact	formal_symbol	proof_strength	implementation_owner	property_suite	property_name	implementation_state	model_evidence
E7-MF-COQ-011	manifest-facts	extractor mismatch invalidates	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	extractor_mismatch_invalidates	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_extractor_mismatch_invalidates	required-red-before-production	rocq-proof-term
E7-MF-COQ-012	manifest-facts	query mismatch invalidates	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	query_mismatch_invalidates	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_query_mismatch_invalidates	required-red-before-production	rocq-proof-term
E7-MF-COQ-013	manifest-facts	feature revision mismatch invalidates	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	feature_revision_mismatch_invalidates	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_feature_revision_mismatch_invalidates	required-red-before-production	rocq-proof-term
E7-MF-COQ-014	manifest-facts	schema mismatch invalidates	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	schema_mismatch_invalidates	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_schema_mismatch_invalidates	required-red-before-production	rocq-proof-term
E7-MF-COQ-015	manifest-facts	source identity mismatch invalidates	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	source_identity_mismatch_invalidates	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_source_identity_mismatch_invalidates	required-red-before-production	rocq-proof-term
E7-MF-COQ-016	manifest-facts	source revision mismatch invalidates	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	source_revision_mismatch_invalidates	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_source_revision_mismatch_invalidates	required-red-before-production	rocq-proof-term
E7-MF-COQ-017	manifest-facts	configuration mismatch invalidates	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	configuration_mismatch_invalidates	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_configuration_mismatch_invalidates	required-red-before-production	rocq-proof-term
E7-MF-COQ-018	manifest-facts	cache reuse requires exact manifest	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	cache_reuse_requires_exact_manifest	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_cache_reuse_requires_exact_manifest	required-red-before-production	rocq-proof-term
E7-MF-COQ-019	manifest-facts	incomplete entry is not reusable	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	incomplete_entry_is_not_reusable	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_incomplete_entry_is_not_reusable	required-red-before-production	rocq-proof-term
E7-MF-COQ-020	manifest-facts	unknown compatibility never reuses	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	unknown_compatibility_never_reuses	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_unknown_compatibility_never_reuses	required-red-before-production	rocq-proof-term
E7-MF-COQ-021	manifest-facts	incompatible manifest never reuses	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	incompatible_manifest_never_reuses	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_incompatible_manifest_never_reuses	required-red-before-production	rocq-proof-term
E7-MF-COQ-022	manifest-facts	reuse requires compatible complete	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	reuse_requires_compatible_complete	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_reuse_requires_compatible_complete	required-red-before-production	rocq-proof-term
E7-MF-COQ-023	manifest-facts	rename preserves durable identity	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	rename_preserves_durable_identity	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_rename_preserves_durable_identity	required-red-before-production	rocq-proof-term
E7-MF-COQ-024	manifest-facts	source display rename preserves fact key	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	source_display_rename_preserves_fact_key	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_source_display_rename_preserves_fact_key	required-red-before-production	rocq-proof-term
E7-MF-COQ-025	manifest-facts	every active fact has dense id	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	every_active_fact_has_dense_id	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_every_active_fact_has_dense_id	required-red-before-production	rocq-proof-term
E7-MF-COQ-026	manifest-facts	durable to dense to durable	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	durable_to_dense_to_durable	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_durable_to_dense_to_durable	required-red-before-production	rocq-proof-term
E7-MF-COQ-027	manifest-facts	dense to durable to dense	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	dense_to_durable_to_dense	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_dense_to_durable_to_dense	required-red-before-production	rocq-proof-term
E7-MF-COQ-028	manifest-facts	durable keys map injectively	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	durable_keys_map_injectively	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_durable_keys_map_injectively	required-red-before-production	rocq-proof-term
E7-MF-COQ-029	manifest-facts	dense ids have no orphans	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	dense_ids_have_no_orphans	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_dense_ids_have_no_orphans	required-red-before-production	rocq-proof-term
E7-MF-COQ-030	manifest-facts	feature rename preserves identity	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	feature_rename_preserves_identity	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_feature_rename_preserves_identity	required-red-before-production	rocq-proof-term
E7-MF-COQ-031	manifest-facts	feature rename preserves semantics	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	feature_rename_preserves_semantics	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_feature_rename_preserves_semantics	required-red-before-production	rocq-proof-term
E7-MF-COQ-032	manifest-facts	feature rename preserves status	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	feature_rename_preserves_status	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_feature_rename_preserves_status	required-red-before-production	rocq-proof-term
E7-MF-COQ-033	manifest-facts	tombstones are absorbing	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	tombstones_are_absorbing	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_tombstones_are_absorbing	required-red-before-production	rocq-proof-term
E7-MF-COQ-034	manifest-facts	historical feature ids are never reused	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	historical_feature_ids_are_never_reused	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_historical_feature_ids_are_never_reused	required-red-before-production	rocq-proof-term
E7-MF-COQ-035	manifest-facts	tombstoned feature cannot reactivate	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	tombstoned_feature_cannot_reactivate	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_tombstoned_feature_cannot_reactivate	required-red-before-production	rocq-proof-term
E7-MF-COQ-036	manifest-facts	exact source range is ordered	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	exact_source_range_is_ordered	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_exact_source_range_is_ordered	required-red-before-production	rocq-proof-term
E7-MF-COQ-037	manifest-facts	exact source range is bounded	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	exact_source_range_is_bounded	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_exact_source_range_is_bounded	required-red-before-production	rocq-proof-term
E7-MF-COQ-038	manifest-facts	exact source range length is bounded	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	exact_source_range_length_is_bounded	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_exact_source_range_length_is_bounded	required-red-before-production	rocq-proof-term
E7-MF-COQ-039	manifest-facts	source mismatch rejects evidence	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	source_mismatch_rejects_evidence	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_source_mismatch_rejects_evidence	required-red-before-production	rocq-proof-term
E7-MF-COQ-040	manifest-facts	source revision mismatch rejects evidence	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	source_revision_mismatch_rejects_evidence	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_source_revision_mismatch_rejects_evidence	required-red-before-production	rocq-proof-term
E7-MF-COQ-041	manifest-facts	out of bounds range rejects evidence	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	out_of_bounds_range_rejects_evidence	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_out_of_bounds_range_rejects_evidence	required-red-before-production	rocq-proof-term
E7-MF-COQ-042	manifest-facts	incomplete nonobservation is unknown	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	incomplete_nonobservation_is_unknown	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_incomplete_nonobservation_is_unknown	required-red-before-production	rocq-proof-term
E7-MF-COQ-043	manifest-facts	incomplete extraction never establishes absence	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	incomplete_extraction_never_establishes_absence	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_incomplete_extraction_never_establishes_absence	required-red-before-production	rocq-proof-term
E7-MF-COQ-044	manifest-facts	absence requires complete extraction	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	absence_requires_complete_extraction	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_absence_requires_complete_extraction	required-red-before-production	rocq-proof-term
E7-MF-COQ-045	manifest-facts	contains key correct	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	contains_key_correct	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_contains_key_correct	required-red-before-production	rocq-proof-term
E7-MF-COQ-046	manifest-facts	contains key permutation	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	contains_key_permutation	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_contains_key_permutation	required-red-before-production	rocq-proof-term
E7-MF-COQ-047	manifest-facts	canonical export is insertion order invariant	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	canonical_export_is_insertion_order_invariant	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_canonical_export_is_insertion_order_invariant	required-red-before-production	rocq-proof-term
E7-MF-COQ-048	manifest-facts	canonical export is sound	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	canonical_export_is_sound	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_canonical_export_is_sound	required-red-before-production	rocq-proof-term
E7-MF-COQ-049	manifest-facts	canonical export is complete over universe	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	canonical_export_is_complete_over_universe	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_canonical_export_is_complete_over_universe	required-red-before-production	rocq-proof-term
E7-MF-COQ-050	manifest-facts	canonical export has no duplicate keys	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	canonical_export_has_no_duplicate_keys	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_canonical_export_has_no_duplicate_keys	required-red-before-production	rocq-proof-term
E7-MF-COQ-051	manifest-facts	canonical export bytes are deterministic	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	canonical_export_bytes_are_deterministic	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_canonical_export_bytes_are_deterministic	required-red-before-production	rocq-proof-term
E7-MF-COQ-052	manifest-facts	export step consumes one	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	export_step_consumes_one	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_export_step_consumes_one	required-red-before-production	rocq-proof-term
E7-MF-COQ-053	manifest-facts	arbitrary export run has linear work	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	arbitrary_export_run_has_linear_work	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_arbitrary_export_run_has_linear_work	required-red-before-production	rocq-proof-term
E7-MF-COQ-054	manifest-facts	arbitrary export run is bounded	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	arbitrary_export_run_is_bounded	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_arbitrary_export_run_is_bounded	required-red-before-production	rocq-proof-term
E7-MF-COQ-055	manifest-facts	arbitrary export run has constant native stack	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	arbitrary_export_run_has_constant_native_stack	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_arbitrary_export_run_has_constant_native_stack	required-red-before-production	rocq-proof-term
E7-MF-COQ-056	manifest-facts	export step increments work once	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	export_step_increments_work_once	rocq-unbounded	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_coq_export_step_increments_work_once	required-red-before-production	rocq-proof-term
E7-MF-COQ-057	adapter-boundary	certified lowering preserves every relation pair	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	certified_lowering_preserves_every_relation_pair	rocq-unbounded	vinary-libcpg-adapter	proofs/required_red/libcpg_manifest/tests/adapter.rs	prop_e7_mf_coq_certified_lowering_preserves_every_relation_pair	required-red-before-production	rocq-proof-term
E7-MF-COQ-058	adapter-boundary	certified lowering has no provenance orphans	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	certified_lowering_has_no_provenance_orphans	rocq-unbounded	vinary-libcpg-adapter	proofs/required_red/libcpg_manifest/tests/adapter.rs	prop_e7_mf_coq_certified_lowering_has_no_provenance_orphans	required-red-before-production	rocq-proof-term
E7-MF-COQ-059	adapter-boundary	fact rule lowering is not forced functional	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	fact_rule_lowering_is_not_forced_functional	rocq-unbounded	vinary-libcpg-adapter	proofs/required_red/libcpg_manifest/tests/adapter.rs	prop_e7_mf_coq_fact_rule_lowering_is_not_forced_functional	required-red-before-production	rocq-proof-term
E7-MF-COQ-060	adapter-boundary	libcpg has no lling llang dependency	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	libcpg_has_no_lling_llang_dependency	rocq-unbounded	vinary-libcpg-adapter	proofs/required_red/libcpg_manifest/tests/adapter.rs	prop_e7_mf_coq_libcpg_has_no_lling_llang_dependency	required-red-before-production	rocq-proof-term
E7-MF-COQ-061	adapter-boundary	lling llang has no libcpg dependency	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	lling_llang_has_no_libcpg_dependency	rocq-unbounded	vinary-libcpg-adapter	proofs/required_red/libcpg_manifest/tests/adapter.rs	prop_e7_mf_coq_lling_llang_has_no_libcpg_dependency	required-red-before-production	rocq-proof-term
E7-MF-COQ-062	adapter-boundary	adapter is the only composition boundary	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	adapter_is_the_only_composition_boundary	rocq-unbounded	vinary-libcpg-adapter	proofs/required_red/libcpg_manifest/tests/adapter.rs	prop_e7_mf_coq_adapter_is_the_only_composition_boundary	required-red-before-production	rocq-proof-term
E7-MF-COQ-063	adapter-boundary	runtime envelope does not reverse core dependencies	rocq	proofs/coq/domain_integration/ManifestFactContracts.v	runtime_envelope_does_not_reverse_core_dependencies	rocq-unbounded	vinary-libcpg-adapter	proofs/required_red/libcpg_manifest/tests/adapter.rs	prop_e7_mf_coq_runtime_envelope_does_not_reverse_core_dependencies	required-red-before-production	rocq-proof-term
E7-MF-TLA-001	manifest-facts	type ok	tla+	proofs/tla/LibcpgManifestLifecycle.tla	TypeOK	tlc-finite-exhaustive	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_tla_type_ok	required-red-before-production	tlc-mutant:type-ok
E7-MF-TLA-002	manifest-facts	ownership is split	tla+	proofs/tla/LibcpgManifestLifecycle.tla	OwnershipIsSplit	tlc-finite-exhaustive	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_tla_ownership_is_split	required-red-before-production	tlc-mutant:ownership-split
E7-MF-TLA-003	manifest-facts	rename preserves durable identity	tla+	proofs/tla/LibcpgManifestLifecycle.tla	RenamePreservesDurableIdentity	tlc-finite-exhaustive	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_tla_rename_preserves_durable_identity	required-red-before-production	tlc-mutant:rename-identity
E7-MF-TLA-004	manifest-facts	semantic mismatch invalidates	tla+	proofs/tla/LibcpgManifestLifecycle.tla	SemanticMismatchInvalidates	tlc-finite-exhaustive	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_tla_semantic_mismatch_invalidates	required-red-before-production	tlc-mutant:semantic-invalidation
E7-MF-TLA-005	manifest-facts	source revision mismatch invalidates	tla+	proofs/tla/LibcpgManifestLifecycle.tla	SourceRevisionMismatchInvalidates	tlc-finite-exhaustive	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_tla_source_revision_mismatch_invalidates	required-red-before-production	tlc-mutant:source-revision
E7-MF-TLA-006	manifest-facts	tombstone reactivation never accepted	tla+	proofs/tla/LibcpgManifestLifecycle.tla	TombstoneReactivationNeverAccepted	tlc-finite-exhaustive	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_tla_tombstone_reactivation_never_accepted	required-red-before-production	tlc-mutant:reactivation
E7-MF-TLA-007	manifest-facts	tombstoned features remain inactive	tla+	proofs/tla/LibcpgManifestLifecycle.tla	TombstonedFeaturesRemainInactive	tlc-finite-exhaustive	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_tla_tombstoned_features_remain_inactive	required-red-before-production	tlc-mutant:tombstone-active
E7-MF-TLA-008	manifest-facts	historical feature id never reused	tla+	proofs/tla/LibcpgManifestLifecycle.tla	HistoricalFeatureIdNeverReused	tlc-finite-exhaustive	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_tla_historical_feature_id_never_reused	required-red-before-production	tlc-mutant:historical-reuse
E7-MF-TLA-009	manifest-facts	dense forward reverse correspondence	tla+	proofs/tla/LibcpgManifestLifecycle.tla	DenseForwardReverseCorrespondence	tlc-finite-exhaustive	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_tla_dense_forward_reverse_correspondence	required-red-before-production	tlc-mutant:dense-roundtrip
E7-MF-TLA-010	manifest-facts	dense indices have no orphans	tla+	proofs/tla/LibcpgManifestLifecycle.tla	DenseIndicesHaveNoOrphans	tlc-finite-exhaustive	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_tla_dense_indices_have_no_orphans	required-red-before-production	tlc-mutant:dense-orphan
E7-MF-TLA-011	manifest-facts	inactive facts have no dense index	tla+	proofs/tla/LibcpgManifestLifecycle.tla	InactiveFactsHaveNoDenseIndex	tlc-finite-exhaustive	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_tla_inactive_facts_have_no_dense_index	required-red-before-production	tlc-mutant:inactive-dense
E7-MF-TLA-012	manifest-facts	cache reuse requires manifest compatibility	tla+	proofs/tla/LibcpgManifestLifecycle.tla	CacheReuseRequiresManifestCompatibility	tlc-finite-exhaustive	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_tla_cache_reuse_requires_manifest_compatibility	required-red-before-production	tlc-mutant:cache-manifest
E7-MF-TLA-013	manifest-facts	cache reuse requires complete extraction	tla+	proofs/tla/LibcpgManifestLifecycle.tla	CacheReuseRequiresCompleteExtraction	tlc-finite-exhaustive	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_tla_cache_reuse_requires_complete_extraction	required-red-before-production	tlc-mutant:cache-complete
E7-MF-TLA-014	manifest-facts	unknown compatibility never reuses	tla+	proofs/tla/LibcpgManifestLifecycle.tla	UnknownCompatibilityNeverReuses	tlc-finite-exhaustive	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_tla_unknown_compatibility_never_reuses	required-red-before-production	tlc-mutant:unknown-reuse
E7-MF-TLA-015	manifest-facts	exact source range required for reuse	tla+	proofs/tla/LibcpgManifestLifecycle.tla	ExactSourceRangeRequiredForReuse	tlc-finite-exhaustive	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_tla_exact_source_range_required_for_reuse	required-red-before-production	tlc-mutant:range-reuse
E7-MF-TLA-016	manifest-facts	deterministic export is canonical	tla+	proofs/tla/LibcpgManifestLifecycle.tla	DeterministicExportIsCanonical	tlc-finite-exhaustive	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_tla_deterministic_export_is_canonical	required-red-before-production	tlc-mutant:canonical-export
E7-MF-TLA-017	manifest-facts	insertion permutation does not change export	tla+	proofs/tla/LibcpgManifestLifecycle.tla	InsertionPermutationDoesNotChangeExport	tlc-finite-exhaustive	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_tla_insertion_permutation_does_not_change_export	required-red-before-production	tlc-mutant:insertion-order
E7-MF-TLA-018	manifest-facts	incomplete never establishes absence	tla+	proofs/tla/LibcpgManifestLifecycle.tla	IncompleteNeverEstablishesAbsence	tlc-finite-exhaustive	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_tla_incomplete_never_establishes_absence	required-red-before-production	tlc-mutant:incomplete-absence
E7-MF-TLA-019	manifest-facts	incomplete never produces accepted outcome	tla+	proofs/tla/LibcpgManifestLifecycle.tla	IncompleteNeverProducesAcceptedOutcome	tlc-finite-exhaustive	libcpg	proofs/required_red/libcpg_manifest/tests/libcpg.rs	prop_e7_mf_tla_incomplete_never_produces_accepted_outcome	required-red-before-production	tlc-mutant:incomplete-outcome
E7-MF-TLA-020	adapter-boundary	every lowered rule has source fact	tla+	proofs/tla/LibcpgManifestLifecycle.tla	EveryLoweredRuleHasSourceFact	tlc-finite-exhaustive	vinary-libcpg-adapter	proofs/required_red/libcpg_manifest/tests/adapter.rs	prop_e7_mf_tla_every_lowered_rule_has_source_fact	required-red-before-production	tlc-mutant:lowering-orphan
E7-MF-TLA-021	adapter-boundary	many to many lowering is preserved	tla+	proofs/tla/LibcpgManifestLifecycle.tla	ManyToManyLoweringIsPreserved	tlc-finite-exhaustive	vinary-libcpg-adapter	proofs/required_red/libcpg_manifest/tests/adapter.rs	prop_e7_mf_tla_many_to_many_lowering_is_preserved	required-red-before-production	tlc-mutant:many-to-many
