# Exhaustive lling-llang stack-safety disposition ledger.
# Rows D001-D091 reproduce the exact direct-candidate order from pgmcp/libcpg run 44bdd341-48f4-46bf-8829-92988abf55b1.
# Rows S001-S005 cover every mutual SCC from that run. Rows L001-L041 cover the independent 213-file Rust recursive-owned-type audit.
# Every final_revision cell identifies the immutable production commit validated by this ledger.
id	kind	discovery_run	baseline_revision	baseline_file	baseline_line	symbol	scc	feature_profile	reachability	depth_driver	observable_order	sharing_cycle_policy	cancellation_cap	baseline_stack_risk	machine	shallow_oracle	formal_obligations	property_laws	deep_wide_lifecycle_test	complexity	allocation_plan	final_revision	disposition	source_evidence
D014	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/algorithms/queue.rs	387	crate::TopologicalQueue::contains	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/algorithms/queue.rs:388:TopologicalQueue::contains(self, state)
D015	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/algorithms/queue.rs	391	crate::TopologicalQueue::clear	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/algorithms/queue.rs:392:TopologicalQueue::clear(self)
D016	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/asr/dysfluency.rs	509	crate::DysfluencyDetector < W >::scan_for_pattern	-	default+all-features	production-library	epsilon-transition depth	pattern epsilon before lattice epsilon; transition order stable	visited configurations suppress cycles	finite graph; terminal spans only	baseline input-depth native recursion	PatternScanWork stack	src/asr/dysfluency.rs::shallow_scan_matches_cycle_safe_recursive_reference + deep_pattern_epsilon_scan_uses_constant_native_stack	DysfluencyScanMachine.v + StackMachineProtocol.tla	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	src/asr/dysfluency.rs::shallow_scan_matches_cycle_safe_recursive_reference + deep_pattern_epsilon_scan_uses_constant_native_stack	O(reachable configurations+arcs) work/O(reachable configurations) heap	contiguous work Vec + visited set	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/asr/dysfluency.rs:553:self.scan_for_pattern( | src/asr/dysfluency.rs:570:self.scan_for_pattern(
D017	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/cfg/forest.rs	179	crate::ParseForest::extract_tree	-	default+all-features	production-library	selected derivation depth	first derivation; children left-to-right	on_path rejects cycles; forest sharing re-expanded per occurrence	cycle rejects with None; all_parses limit external	baseline input-depth native recursion	forest postorder frame stack	src/cfg/forest.rs::test_best_parse + parse_tree_machine_refines_recursive_shape	OrderedForestMachine.v + stack-safety-ranks.smt2	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	src/cfg/forest.rs::forest_extraction_refines_linear_derivation + deep_forest_extraction_uses_constant_native_stack (512 cases; 100,000 nodes/256 KiB)	O(selected tree size) work/O(depth+output) heap	per-frame exact child capacity	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/cfg/forest.rs:194:self.extract_tree(kid_id)
D018	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/gpu/csr.rs	282	crate::CsrWfst < L >::is_final	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/gpu/csr.rs:283:self.state(state).is_final()
D019	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/lattice/algorithms.rs	136	crate::dfs	-	default+all-features	production-library	longest reachable vertex path	node order then adjacency order	three-color on-path cycle detection	malformed endpoint fails closed	baseline input-depth native recursion	colored DFS frame stack	src/lattice/algorithms.rs::acyclic/cycle unit matrix	OrderedForestMachine.v + stack-safety-ranks.smt2	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	src/lattice/algorithms.rs::colored_dfs_agrees_with_kahn_on_valid_graphs + deep_colored_dfs_uses_constant_native_stack (512 cases; 100,000 edges/256 KiB)	O(V+E) work/O(V+E) heap	adjacency and frame Vec pre-sized/amortized	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/lattice/algorithms.rs:146:dfs(idx, adj, color)
D020	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/layers/code_correction/pattern.rs	492	crate::PatternAwareLayer::estimated_reduction	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/layers/code_correction/pattern.rs:493:PatternAwareLayer::estimated_reduction(self)
D021	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/layers/mathml/checker.rs	474	crate::MathTypeChecker::unify	-	all-features+mathml-semantic	production-library	MathType nesting	left before right; original error precedence	owned acyclic types; substitutions preserved	first error terminates	baseline input-depth native recursion	typed unification task stack	src/layers/mathml/checker.rs::unify unit matrix + tests/stack_safety_properties.rs::deep_math_type_unification_uses_constant_native_stack	ContinuationMachine.v + stack-safety-ranks.smt2 + StackMachineProtocol.tla	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	src/layers/mathml/checker.rs::unify unit matrix + tests/stack_safety_properties.rs::deep_math_type_unification_uses_constant_native_stack	O(n) work/O(h+n output) heap	typed task/value Vecs	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/layers/mathml/checker.rs:505:self.unify(t1, t2) | src/layers/mathml/checker.rs:507:self.unify(c1, c2) | src/layers/mathml/checker.rs:526:self.unify(e1, e2) | src/layers/mathml/checker.rs:554:self.unify(e1, e2)
D022	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/multitape/label.rs	74	crate::MultiTapeLabel < L , N >::map	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/multitape/label.rs:79:self.labels[i].as_ref().map(&f)
D023	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/programming/api_migration.rs	84	crate::Version::parse	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/programming/api_migration.rs:87:parts.next()?.parse()
D024	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/programming/repair.rs	382	crate::RepairCandidate::new	-	default+all-features	production-library	RepairAction::Multiple first-child depth	first action determines position	owned acyclic action tree	empty Multiple maps to default	baseline input-depth native recursion	first-descendant loop	src/programming/repair.rs::test_repair_candidate	OrderedForestMachine.v + CrossCarrierLifecycle.v	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	src/programming/repair.rs::repair_candidate_and_range_refine_recursive_oracles + deep_repair_candidate_and_range_use_constant_native_stack (512 cases; 100,000 levels/256 KiB)	O(h) work/O(1) auxiliary heap	borrowed cursor; no transition allocation	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/programming/repair.rs:389:RepairCandidate::new(a.clone(), 0.0, String::new())
D025	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/programming/repair.rs	791	crate::SyntaxRepairTransducer < W >::action_range	-	default+all-features	production-library	RepairAction nesting	all children visited; min/max independent of visit order	owned acyclic action tree	empty/NoOp range is zero	baseline input-depth native recursion	action preorder worklist	src/programming/repair.rs::test_non_overlapping_selection	OrderedForestMachine.v + CrossCarrierLifecycle.v	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	src/programming/repair.rs::repair_candidate_and_range_refine_recursive_oracles + deep_repair_candidate_and_range_use_constant_native_stack (512 cases; 100,000 levels/256 KiB)	O(n) work/O(h) heap	borrowed pending Vec	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/programming/repair.rs:798:self.action_range(a) | src/programming/repair.rs:799:self.action_range(a)
D026	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/programming/token.rs	359	crate::PatternMatcher::try_match_at	-	default+all-features	production-library	nested TokenPattern alternatives	first successful alternative commits; captures/source order exact	owned acyclic pattern; entry state restored per alternative	input exhaustion fails; no hidden cap	baseline input-depth native recursion	ordered alternative PDA	src/programming/token.rs::shallow_pattern_machine_matches_recursive_reference + deep_pattern_alternative_lifecycle_uses_constant_native_stack	TokenPatternMachine.v + StackMachineProtocol.tla	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	src/programming/token.rs::shallow_pattern_machine_matches_recursive_reference + deep_pattern_alternative_lifecycle_uses_constant_native_stack	O(explored pattern work) time/O(nesting+captures) heap	compact alternative frames; reuse capture buffers	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/programming/token.rs:413:self.try_match_at(alt, tokens, pos)
D027	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/semiring/algebraic/godel.rs	274	crate::GodelWeight::serialize	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/semiring/algebraic/godel.rs:278:self.0.into_inner().serialize(serializer)
D028	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/semiring/algebraic/power.rs	226	crate::PowerWeight::hash	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/semiring/algebraic/power.rs:228:self.value.to_bits().hash(state) | src/semiring/algebraic/power.rs:229:self.eta.to_bits().hash(state)
D029	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/semiring/algebraic/power.rs	451	crate::PowerWeight::to_probability	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/semiring/algebraic/power.rs:452:PowerWeight::to_probability(self)
D030	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/semiring/basic/arctic.rs	236	crate::ArcticWeight::serialize	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/semiring/basic/arctic.rs:240:self.value().serialize(serializer)
D031	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/semiring/basic/log.rs	372	crate::LogWeight::to_probability	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/semiring/basic/log.rs:374:LogWeight::to_probability(*self)
D032	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/semiring/basic/log.rs	412	crate::LogWeight::serialize	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/semiring/basic/log.rs:416:self.0.into_inner().serialize(serializer)
D033	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/semiring/basic/probability.rs	342	crate::ProbabilityWeight::serialize	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/semiring/basic/probability.rs:346:self.0.into_inner().serialize(serializer)
D034	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/semiring/basic/tropical.rs	345	crate::TropicalWeight::serialize	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/semiring/basic/tropical.rs:349:self.0.into_inner().serialize(serializer)
D035	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/semiring/signed/signed_tropical.rs	164	crate::SignedTropicalWeight::abs	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/semiring/signed/signed_tropical.rs:165:self.value().abs()
D036	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/semiring/signed/signed_tropical.rs	170	crate::SignedTropicalWeight::clamp	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/semiring/signed/signed_tropical.rs:171:self.value().clamp(min, max)
D037	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/semiring/string_kind/set.rs	515	crate::SetWeight < T >::hash	-	default+all-features	production-library	none	none	not-applicable	not-applicable	none; callee resolves to a distinct symbol	source-dispatch-only	qualified-target/source inspection	source-dispatch proof; no recursive equation	callee identity differs from enclosing symbol	not applicable: no recursion	unchanged; target dispatch only	no recursion allocation	65d82ac550dfee5dceb627457895b035dde49683	false-positive-with-source-evidence	src/semiring/string_kind/set.rs:518:self.elements.len().hash(state)
D038	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/symbolic/any_algebra.rs	220	crate::fold_pred	-	default+all-features	production-library	AnyPred nesting	left before right; unary polarity exact	owned acyclic predicate	leaf failure semantics unchanged	baseline input-depth native recursion	postorder predicate fold PDA	tests/stack_safety_properties.rs::deep_any_predicate_lifecycle_uses_constant_native_stack	ContinuationMachine.v + stack-safety-ranks.smt2 + StackMachineProtocol.tla	semantic/order/error equivalence; strict progress; heap-frame well-formedness; native-stack independence	tests/stack_safety_properties.rs::deep_any_predicate_lifecycle_uses_constant_native_stack	O(n+algebra-combine cost) work/O(h+output) heap	typed task/value Vecs	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/symbolic/any_algebra.rs:228:fold_pred(alg, a, leaf) | src/symbolic/any_algebra.rs:228:fold_pred(alg, b, leaf) | src/symbolic/any_algebra.rs:229:fold_pred(alg, a, leaf) | src/symbolic/any_algebra.rs:229:fold_pred(alg, b, leaf) | src/symbolic/any_algebra.rs:230:fold_pred(alg, x, leaf)
D039	direct	44bdd341-48f4-46bf-8829-92988abf55b1	bc26797854444aa0ec38d06bd3ba991a79bd3da7	src/symbolic/any_algebra.rs	635	crate::point_tree	-	default+all-features	production-library	SymTerm depth	children left-to-right	owned acyclic term	no cap; exact singleton	baseline input-depth native recursion	tree postorder reconstruction frames	tests/cross_carrier_lifecycle_properties.rs::any_domain_clone_preserves_typed_recursive_preorder	OrderedForestMachine.v + TreeRunIndex.v + stack-safety-ranks.smt2	semantic/order/error equivalence; exact indexed evaluation; strict progress; heap-frame well-formedness; native-stack independence	src/symbolic/any_algebra.rs::tree_singleton_refines_exact_unary_tree_equality + deep_tree_singleton_construction_and_evaluation_use_constant_native_stack (512 cases; 100,000 levels/256 KiB)	O(n) singleton construction plus O(n) deterministic compile/evaluation work; O(h+n output/index) heap	child-count construction frames; two transition-index references per compiled transition; reusable run scratch	65d82ac550dfee5dceb627457895b035dde49683	flattened	src/symbolic/any_algebra.rs:639:point_tree(elem, c)
