id	area	invariant	formalism	artifact	formal_symbol	declaration_kind	proof_strength	property_suite	property_name	implementation_state
E4-WPDS-R-015	admission	malformed payloads never publish	rocq	proofs/coq/portability/WpdsPortability.v	malformed_payload_never_publishes	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_rejected_inputs_never_publish	required-red-before-production
E4-WPDS-R-016	admission	checksum failures never publish	rocq	proofs/coq/portability/WpdsPortability.v	checksum_failure_never_publishes	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_rejected_inputs_never_publish	required-red-before-production
E4-WPDS-R-017	admission	budget exhaustion never publishes	rocq	proofs/coq/portability/WpdsPortability.v	budget_exhaustion_never_publishes	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_rejected_inputs_never_publish	required-red-before-production
E4-WPDS-R-018	admission	cancellation never publishes	rocq	proofs/coq/portability/WpdsPortability.v	cancellation_never_publishes	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_rejected_inputs_never_publish	required-red-before-production
E4-WPDS-R-019	admission	invalid witnesses never publish	rocq	proofs/coq/portability/WpdsPortability.v	invalid_witness_never_publishes	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_rejected_inputs_never_publish	required-red-before-production
E4-WPDS-R-020	witness	portable witnesses reject unknown external rule keys	rocq	proofs/coq/portability/WpdsPortability.v	portable_witness_rejects_unknown_rule	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_portable_witness_uses_known_keys_and_earlier_premises	required-red-before-production
E4-WPDS-R-021	witness	every portable witness premise precedes its conclusion	rocq	proofs/coq/portability/WpdsPortability.v	every_portable_premise_is_earlier	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_portable_witness_uses_known_keys_and_earlier_premises	required-red-before-production
E4-WPDS-R-022	witness	local replay soundness lifts across an entire portable proof tape	rocq	proofs/coq/portability/WpdsPortability.v	portable_replay_preserves_soundness	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_portable_witness_uses_known_keys_and_earlier_premises	required-red-before-production
E4-WPDS-R-023	witness	a replayed portable root has the claimed semantics	rocq	proofs/coq/portability/WpdsPortability.v	replayed_portable_root_is_semantic	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_portable_witness_uses_known_keys_and_earlier_premises	required-red-before-production
E4-WPDS-R-024	codec	the portable codec relation is right unique for identical inputs	rocq	proofs/coq/portability/WpdsPortability.v	portable_encoding_is_deterministic	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_portable_codec_is_deterministic	required-red-before-production
E4-WPDS-R-025	decoder	successful decoder steps preserve all byte node edge and tape bounds	rocq	proofs/coq/portability/WpdsPortability.v	successful_decode_advance_preserves_bounds	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_flat_decoder_is_positive_bounded_and_overflow_safe	required-red-before-production
E4-WPDS-R-026	decoder	every positive successful decoder step advances the cursor	rocq	proofs/coq/portability/WpdsPortability.v	successful_positive_decode_advance_progresses	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_flat_decoder_is_positive_bounded_and_overflow_safe	required-red-before-production
E4-WPDS-R-027	decoder	the remaining-byte measure strictly decreases on positive decoder steps	rocq	proofs/coq/portability/WpdsPortability.v	decode_precedes_decreases	lemma	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_flat_decoder_is_positive_bounded_and_overflow_safe	required-red-before-production
E4-WPDS-R-028	decoder	bounded decoding has no infinite positive-width cursor trace	rocq	proofs/coq/portability/WpdsPortability.v	bounded_decoder_has_no_infinite_positive_cursor_trace	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_flat_decoder_is_positive_bounded_and_overflow_safe	required-red-before-production
E4-WPDS-R-029	teardown	every explicit teardown step decreases retained heap items	rocq	proofs/coq/portability/WpdsPortability.v	teardown_step_decreases	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_iterative_release_is_stack_safe_for_deep_flat_witnesses	required-red-before-production
E4-WPDS-R-030	teardown	the explicit heap teardown relation is well founded	rocq	proofs/coq/portability/WpdsPortability.v	teardown_is_well_founded	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_iterative_release_is_stack_safe_for_deep_flat_witnesses	required-red-before-production
E4-WPDS-R-031	complexity	fixed width radix mapping performs exactly sixteen byte visits per rule	rocq	proofs/coq/portability/WpdsPortability.v	fixed_width_radix_mapping_is_linear	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_declared_work_models_are_linear	required-red-before-production
E4-WPDS-R-032	complexity	flat replay work is linear in rules proof nodes and premise edges	rocq	proofs/coq/portability/WpdsPortability.v	flat_replay_is_linear_in_admitted_graph	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_declared_work_models_are_linear	required-red-before-production
E4-WPDS-R-033	complexity	flat codec work is linear in bytes rules proof nodes and premise edges	rocq	proofs/coq/portability/WpdsPortability.v	flat_codec_is_linear_in_bytes_and_records	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_declared_work_models_are_linear	required-red-before-production
E4-WPDS-R-034	complexity	iterative teardown space is linear in explicitly retained heap items	rocq	proofs/coq/portability/WpdsPortability.v	iterative_teardown_is_linear_in_heap_items	theorem	rocq-unbounded	tests/wpds_portability_contract_properties.rs	prop_declared_work_models_are_linear	required-red-before-production
E4-WPDS-T-001	lifecycle	all lifecycle state is representationally well typed	tla+	proofs/tla/WpdsPortabilityLifecycle.tla	TypeOK	invariant	tlc-finite-exhaustive	tests/wpds_portability_contract_properties.rs	prop_flat_decoder_is_positive_bounded_and_overflow_safe	required-red-before-production
E4-WPDS-T-002	mapping	the live dense rule map remains bijective and zero based	tla+	proofs/tla/WpdsPortabilityLifecycle.tla	DenseMapBijection	invariant	tlc-finite-exhaustive	tests/wpds_portability_contract_properties.rs	prop_rule_map_rejects_duplicates_and_is_bijective	required-red-before-production
E4-WPDS-T-003	mapping	the sealed rule map never changes	tla+	proofs/tla/WpdsPortabilityLifecycle.tla	SealedMapStable	invariant	tlc-finite-exhaustive	tests/wpds_portability_contract_properties.rs	prop_same_snapshot_keeps_dense_ids_stable	required-red-before-production
E4-WPDS-T-004	cancellation	the first cancellation reason is sticky	tla+	proofs/tla/WpdsPortabilityLifecycle.tla	CancellationSticky	invariant	tlc-finite-exhaustive	tests/wpds_portability_contract_properties.rs	prop_cancellation_reason_is_first_writer_sticky	required-red-before-production
E4-WPDS-T-005	decoder	decoder cursor node and edge usage never exceed bounds	tla+	proofs/tla/WpdsPortabilityLifecycle.tla	DecoderBounds	invariant	tlc-finite-exhaustive	tests/wpds_portability_contract_properties.rs	prop_flat_decoder_is_positive_bounded_and_overflow_safe	required-red-before-production
E4-WPDS-T-006	witness	all modeled premise edges point to earlier nodes	tla+	proofs/tla/WpdsPortabilityLifecycle.tla	PremiseOrder	invariant	tlc-finite-exhaustive	tests/wpds_portability_contract_properties.rs	prop_portable_witness_uses_known_keys_and_earlier_premises	required-red-before-production
E4-WPDS-T-007	admission	rejected executions never publish	tla+	proofs/tla/WpdsPortabilityLifecycle.tla	RejectedNeverPublishes	invariant	tlc-finite-exhaustive	tests/wpds_portability_contract_properties.rs	prop_rejected_inputs_never_publish	required-red-before-production
E4-WPDS-T-008	admission	publication requires exact complete admission	tla+	proofs/tla/WpdsPortabilityLifecycle.tla	PublicationRequiresExactAdmission	invariant	tlc-finite-exhaustive	tests/wpds_portability_contract_properties.rs	prop_rejected_inputs_never_publish	required-red-before-production
E4-WPDS-T-009	identity	publication retains the exact expected replay identity	tla+	proofs/tla/WpdsPortabilityLifecycle.tla	PublicationHasExactIdentity	invariant	tlc-finite-exhaustive	tests/wpds_portability_contract_properties.rs	prop_replay_requires_all_five_identity_fields	required-red-before-production
E4-WPDS-T-010	cancellation	publication cannot follow any cancellation request	tla+	proofs/tla/WpdsPortabilityLifecycle.tla	PublicationWasNeverCancelled	invariant	tlc-finite-exhaustive	tests/wpds_portability_contract_properties.rs	prop_cancellation_reason_is_first_writer_sticky	required-red-before-production
E4-WPDS-T-011	ownership	a released handle is dead	tla+	proofs/tla/WpdsPortabilityLifecycle.tla	ReleasedHandleIsDead	invariant	tlc-finite-exhaustive	tests/wpds_portability_contract_properties.rs	prop_iterative_release_is_stack_safe_for_deep_flat_witnesses	required-red-before-production
E4-WPDS-T-012	ownership	the handle stays live before release	tla+	proofs/tla/WpdsPortabilityLifecycle.tla	LiveOutsideRelease	invariant	tlc-finite-exhaustive	tests/wpds_portability_contract_properties.rs	prop_iterative_release_is_stack_safe_for_deep_flat_witnesses	required-red-before-production
E4-WPDS-S-001	mapping	a sealed snapshot cannot contain duplicate keys	smt	proofs/smt/vco-e4-wpds-portability.smt2	LLING-WPDS-KEY-1	query	z3-finite-boundary	tests/wpds_portability_contract_properties.rs	prop_rule_map_rejects_duplicates_and_is_bijective	required-red-before-production
E4-WPDS-S-002	mapping	distinct external keys cannot share a dense identifier	smt	proofs/smt/vco-e4-wpds-portability.smt2	LLING-WPDS-KEY-2	query	z3-finite-boundary	tests/wpds_portability_contract_properties.rs	prop_rule_map_rejects_duplicates_and_is_bijective	required-red-before-production
E4-WPDS-S-003	mapping	dense identity is stable within one immutable snapshot	smt	proofs/smt/vco-e4-wpds-portability.smt2	LLING-WPDS-KEY-3	query	z3-finite-boundary	tests/wpds_portability_contract_properties.rs	prop_same_snapshot_keeps_dense_ids_stable	required-red-before-production
E4-WPDS-S-004	identity	admission with any replay identity mismatch is impossible	smt	proofs/smt/vco-e4-wpds-portability.smt2	LLING-WPDS-ID-1	query	z3-finite-boundary	tests/wpds_portability_contract_properties.rs	prop_replay_requires_all_five_identity_fields	required-red-before-production
E4-WPDS-S-005	admission	publication with malformed stale over budget cancelled or invalid witness input is impossible	smt	proofs/smt/vco-e4-wpds-portability.smt2	LLING-WPDS-TERM-1	query	z3-finite-boundary	tests/wpds_portability_contract_properties.rs	prop_rejected_inputs_never_publish	required-red-before-production
E4-WPDS-S-006	decoder	an admitted positive decoder step cannot exceed the byte budget	smt	proofs/smt/vco-e4-wpds-portability.smt2	LLING-WPDS-DEC-1	query	z3-finite-boundary	tests/wpds_portability_contract_properties.rs	prop_flat_decoder_is_positive_bounded_and_overflow_safe	required-red-before-production
E4-WPDS-S-007	witness	an admitted premise index cannot be current or future	smt	proofs/smt/vco-e4-wpds-portability.smt2	LLING-WPDS-PREM-1	query	z3-finite-boundary	tests/wpds_portability_contract_properties.rs	prop_portable_witness_uses_known_keys_and_earlier_premises	required-red-before-production
E4-WPDS-S-008	identity	a mismatched identity has a constructive rejected model	smt	proofs/smt/vco-e4-wpds-portability.smt2	LLING-WPDS-ID-2	query	z3-finite-boundary	tests/wpds_portability_contract_properties.rs	prop_replay_requires_all_five_identity_fields	required-red-before-production
E4-WPDS-K-001	mapping	bounded concrete rule maps reject duplicates and round trip densely	kani	proofs/kani/wpds_portability_model.rs	accepted_rule_maps_are_bijective_and_duplicates_are_rejected	harness	kani-bit-precise-bounded	tests/wpds_portability_contract_properties.rs	prop_rule_map_rejects_duplicates_and_is_bijective	required-red-before-production
E4-WPDS-K-002	identity	bounded concrete replay admission checks every identity and validity field	kani	proofs/kani/wpds_portability_model.rs	replay_admission_requires_the_complete_identity_and_all_checks	harness	kani-bit-precise-bounded	tests/wpds_portability_contract_properties.rs	prop_replay_requires_all_five_identity_fields	required-red-before-production
E4-WPDS-K-003	decoder	bounded concrete decoder steps are positive bounded and overflow free	kani	proofs/kani/wpds_portability_model.rs	accepted_decoder_steps_are_positive_bounded_and_overflow_free	harness	kani-bit-precise-bounded	tests/wpds_portability_contract_properties.rs	prop_flat_decoder_is_positive_bounded_and_overflow_safe	required-red-before-production
E4-WPDS-K-004	witness	bounded concrete proof nodes use known keys and earlier premises	kani	proofs/kani/wpds_portability_model.rs	accepted_proof_nodes_use_known_keys_and_earlier_premises	harness	kani-bit-precise-bounded	tests/wpds_portability_contract_properties.rs	prop_portable_witness_uses_known_keys_and_earlier_premises	required-red-before-production
E4-WPDS-K-005	teardown	bounded concrete release is iterative and single pass	kani	proofs/kani/wpds_portability_model.rs	bounded_release_machine_is_iterative_and_single_pass	harness	kani-bit-precise-bounded	tests/wpds_portability_contract_properties.rs	prop_iterative_release_is_stack_safe_for_deep_flat_witnesses	required-red-before-production
E4-WPDS-K-006	admission	bounded concrete rejected replay inputs never publish	kani	proofs/kani/wpds_portability_model.rs	rejected_replay_inputs_never_publish	harness	kani-bit-precise-bounded	tests/wpds_portability_contract_properties.rs	prop_rejected_inputs_never_publish	required-red-before-production
